Nombre,Cargo,Institucion,SNIES,Correo,LinkedIn,Notas
,Rector / Director,UNIVERSIDAD NACIONAL DE COLOMBIA,1104,,,[Valle del Cauca] Universidad
,Rector / Director,UNIVERSIDAD DEL CAUCA,1110,,,[Cauca] Universidad
,Rector / Director,UNIVERSIDAD DEL PACIFICO,1122,,,[Valle del Cauca] Universidad
,Rector / Director,UNIVERSIDAD DEL VALLE,1203,,,[Valle del Cauca] Universidad
,Rector / Director,PONTIFICIA UNIVERSIDAD JAVERIANA,1702,,,[Valle del Cauca] Universidad
,Rector / Director,UNIVERSIDAD DE SAN BUENAVENTURA,1716,,,[Valle del Cauca] Universidad
,Rector / Director,UNIVERSIDAD PONTIFICIA BOLIVARIANA,1730,,,[Valle del Cauca] Universidad
,Rector / Director,UNIVERSIDAD SANTIAGO DE CALI,1805,,,[Valle del Cauca] Universidad
,Rector / Director,UNIVERSIDAD LIBRE,1807,,,[Valle del Cauca] Universidad
,Rector / Director,UNIVERSIDAD ICESI,1828,,,[Valle del Cauca] Universidad
,Rector / Director,UNIVERSIDAD SANTIAGO DE CALI,1829,,,[Valle del Cauca] Universidad
,Rector / Director,UNIVERSIDAD AUTONOMA DE OCCIDENTE,1830,,,[Valle del Cauca] Universidad
,Rector / Director,ESCUELA NACIONAL DEL DEPORTE,2114,,,[Valle del Cauca] Institución Universitaria/Escuela Tecnológica
,Rector / Director,INSTITUTO DEPARTAMENTAL DE BELLAS ARTES,2206,,,[Valle del Cauca] Institución Universitaria/Escuela Tecnológica
,Rector / Director,UNIDAD CENTRAL DEL VALLE DEL CAUCA,2301,,,[Valle del Cauca] Institución Universitaria/Escuela Tecnológica
,Rector / Director,FUNDACION UNIVERSITARIA DE POPAYAN,2715,,,[Cauca] Institución Universitaria/Escuela Tecnológica
,Rector / Director,FUNDACION CENTRO UNIVERSITARIO DE BIENESTAR RURAL,2722,,,[Cauca] Institución Universitaria/Escuela Tecnológica
,Rector / Director,FUNDACION UNIVERSITARIA CATOLICA LUMEN GENTIUM - UNICATÓLICA - CALI,2731,,,[Valle del Cauca] Institución Universitaria/Escuela Tecnológica
,Rector / Director,FUNDACION UNIVERSITARIA SEMINARIO TEOLOGICO BAUTISTA INTERNACIONAL,2748,,,[Valle del Cauca] Institución Universitaria/Escuela Tecnológica
,Rector / Director,CORPORACION UNIVERSITARIA AUTONOMA DEL CAUCA,2849,,,[Cauca] Institución Universitaria/Escuela Tecnológica
,Rector / Director,COLEGIO MAYOR DEL CAUCA,3104,,,[Cauca] Institución Universitaria/Escuela Tecnológica
,Rector / Director,INSTITUCIÓN UNIVERSITARIA DEL PUTUMAYO,3115,,,[Putumayo] Institución Universitaria/Escuela Tecnológica
,Rector / Director,INSTITUCIÓN UNIVERSITARIA DEL PUTUMAYO,3116,,,[Putumayo] Institución Universitaria/Escuela Tecnológica
,Rector / Director,INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO,3301,,,[Valle del Cauca] Institución Universitaria/Escuela Tecnológica
,Rector / Director,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F.C.E.C.E.P.",3706,,,[Valle del Cauca] Institución Tecnológica
,Rector / Director,FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO,3715,,,[Valle del Cauca] Institución Tecnológica
,Rector / Director,CORPORACION DE ESTUDIOS TECNOLOGICOS DEL NORTE DEL VALLE,3801,,,[Valle del Cauca] Institución Tecnológica
,Rector / Director,CORPORACION UNIVERSITARIA CENTRO SUPERIOR - UNICUCES,3803,,,[Valle del Cauca] Institución Universitaria/Escuela Tecnológica
,Rector / Director,INSTITUTO DE EDUCACION EMPRESARIAL-IDEE-,3805,,,[Valle del Cauca] Institución Tecnológica
,Rector / Director,CORPORACION ESCUELA SUPERIOR DE ADMINISTRACION Y ESTUDIOS TECNOLOGICOS- EAE,3806,,,[Valle del Cauca] Institución Tecnológica
,Rector / Director,CORPORACION UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,3831,,,[Cauca] Institución Universitaria/Escuela Tecnológica
,Rector / Director,INSTITUTO DE EDUCACION TECNICA PROFESIONAL DE ROLDANILLO,4101,,,[Valle del Cauca] Institución Técnica Profesional
,Rector / Director,INSTITUCIÓN UNIVERSITARIA TÉCNICA PARA EL DESARROLLO PROFESIONAL - UTEDÉ,4107,,,[Valle del Cauca] Institución Universitaria/Escuela Tecnológica
,Rector / Director,INSTITUTO TECNICO NACIONAL DE COMERCIO SIMON RODRIGUEZ - INTENALCO,4109,,,[Valle del Cauca] Institución Técnica Profesional
,Rector / Director,UNIDAD TECNICA PROFESIONAL DE SEVILLA-UNITEPS-,4301,,,[Valle del Cauca] Institución Técnica Profesional
,Rector / Director,FUNDACION ACADEMIA DE DIBUJO PROFESIONAL,4701,,,[Valle del Cauca] Institución Técnica Profesional
,Rector / Director,FUNDACION INSTITUTO DE CARRERAS TECNICAS PROFESIONALES-FIDCI-,4716,,,[Valle del Cauca] Institución Técnica Profesional
,Rector / Director,CORPORACION REGIONAL DE EDUCACION SUPERIOR-CRES-DE CALI,4808,,,[Valle del Cauca] Institución Técnica Profesional
,Rector / Director,CORPORACIÓN UNIFICADA HISPANOAMERICANA DE EDUCACIÓN SUPERIOR,4811,,,[Valle del Cauca] Institución Técnica Profesional
,Rector / Director,CORPORACION DE EDUCACION SUPERIOR MIGUEL CAMACHO PEREA,4814,,,[Valle del Cauca] Institución Técnica Profesional
,Rector / Director,ESCUELA MILITAR DE AVIACION MARCO FIDEL SUAREZ,9103,,,[Valle del Cauca] Institución Universitaria/Escuela Tecnológica
,Rector / Director,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,9111,,,[Valle del Cauca] Institución Tecnológica
,Rector / Director,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,9115,,,[Valle del Cauca] Institución Tecnológica
,Rector / Director,INSTITUTO TECNOLOGICO COMFAMILIAR DE PUTUMAYO,9130,,,[Putumayo] Institución Tecnológica
,Rector / Director,CORPORACIÓN UNIVERSITARIA PARA EL DESARROLLO EMPRESARIAL Y SOCIAL - MISIÓN PAZ.,9906,,,[Valle del Cauca] Institución Universitaria/Escuela Tecnológica
,Rector / Director,UNIVERSIDAD DEL VALLE,9908,,,[Valle del Cauca] Universidad
,Rector / Director,UNIVERSIDAD DEL VALLE,9909,,,[Valle del Cauca] Universidad
,Rector / Director,UNIVERSIDAD DEL VALLE,9911,,,[Valle del Cauca] Universidad
,Rector / Director,UNIVERSIDAD DEL VALLE,9912,,,[Valle del Cauca] Universidad
,Rector / Director,UNIVERSIDAD AUTÓNOMA INDÍGENA INTERCULTURAL - UAIIN,9929,,,[Cauca] Universidad
,Rector / Director,CORPORACION TECNICA PROFESIONAL CAMINOS DEL SUROCCIDENTE COLOMBIANO,9937,,,[Cauca] Institución Técnica Profesional
,Rector / Director,INSTITUCIÓN UNIVERSITARIA DE LAS CULTURAS Y LAS ARTES POPULARES IPC,9944,,,[Valle del Cauca] Institución Universitaria/Escuela Tecnológica
